id,collection_id
brazilian,conde_do_forro
brazilian,cristiano_araujo
brazilian,djavan
brazilian,guilherme_arantes
brazilian,gusttavo_lima
brazilian,jorge_vercillo
brazilian,luan_santana
brazilian,nando_reis
brazilian,raca_negra
brazilian,tarcisio_do_acordeon
brazilian,ze_vaqueiro
brazilian,alok
edm,alan_walker
edm,avicii
edm,calvin_harris
edm,marshmello
edm,the_chainsmokers
edm,zedd
edm,nocopyrightsounds
hip_hop,akon
hip_hop,eminem
hip_hop,rick_james
hip_hop,sean_kingston
jpop_citypop,anri
jpop_citypop,miki_matsubara
music,adele
music,akon
music,alan_walker
music,alok
music,alphaville
music,anri
music,arctic_monkeys
music,avicii
music,bee_gees
music,billy_idol
music,bon_jovi
music,bonnie_tyler
music,bruno_mars
music,bryan_adams
music,calvin_harris
music,charlie_brown_jr
music,coldplay
music,conde_do_forro
music,cristiano_araujo
music,cyndi_lauper
music,djavan
music,dragon_ball_portuguese
music,ed_sheeran
music,eminem
music,europe
music,evanescence
music,george_michael
music,gotye
music,guilherme_arantes
music,guns_n_roses
music,gusttavo_lima
music,harry_styles
music,imagine_dragons
music,jorge_vercillo
music,justin_bieber
music,justin_timberlake
music,keane
music,lagum
music,legiao_urbana
music,lewis_capaldi
music,linkin_park
music,lionel_richie
music,luan_santana
music,mariah_carey
music,maroon_5
music,marshmello
music,michael_jackson
music,miki_matsubara
music,nando_reis
music,naruto
music,nirvana
music,nocopyrightsounds
music,nx_zero
music,pablo
music,paul_young
music,queen
music,raca_negra
music,radiohead
music,renato_russo
music,renno
music,rick_astley
music,rick_james
music,roxette
music,scorpions
music,sean_kingston
music,spandau_ballet
music,steven_universe
music,stevie_wonder
music,survivor
music,tarcisio_do_acordeon
music,tears_for_fears
music,the_beatles
music,the_chainsmokers
music,the_jackson_5
music,the_jacksons
music,the_neighbourhood
music,the_outfield
music,the_weeknd
music,twenty_one_pilots
music,usa_for_africa
music,whitney_houston
music,ze_vaqueiro
music,zedd
music,kenny_g
pop,adele
pop,bruno_mars
pop,ed_sheeran
pop,justin_bieber
pop,justin_timberlake
pop,maroon_5
pop,michael_jackson
pop,mariah_carey
pop,george_michael
pop,lewis_capaldi
pop,harry_styles
pop,the_weeknd
pop,whitney_houston
pop,paul_young
pop,rick_astley
pop,the_jackson_5
pop,the_jacksons
pop,usa_for_africa
pop,cyndi_lauper
rock,arctic_monkeys
rock,billy_idol
rock,bon_jovi
rock,bryan_adams
rock,coldplay
rock,europe
rock,evanescence
rock,guns_n_roses
rock,imagine_dragons
rock,keane
rock,legiao_urbana
rock,linkin_park
rock,nirvana
rock,nx_zero
rock,queen
rock,radiohead
rock,renato_russo
rock,roxette
rock,scorpions
rock,survivor
rock,the_beatles
rock,the_neighbourhood
rock,the_outfield
rock,twenty_one_pilots
rock,spandau_ballet
rock,tears_for_fears
rock,alphaville
rock,bonnie_tyler
smooth_jazz,kenny_g
