title,artist,album,cover,file,collection_id
Lose Yourself,Eminem,Curtain Call: The Hits (Deluxe Edition),curtain_call_the_hits_deluxe_edition.jpeg,lose_yourself.mp3,eminem
Love The Way You Lie,"Eminem, Rihanna",Recovery,recovery.jpeg,love_the_way_you_lie.mp3,eminem
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),the_marshall_mathers_lp2_deluxe.jpeg,rap_god.mp3,eminem
Stan,"Eminem, Dido",The Marshall Mathers LP,the_marshall_mathers_lp.jpeg,stan.mp3,eminem
The Real Slim Shady,Eminem,The Marshall Mathers LP,the_marshall_mathers_lp.jpeg,the_real_slim_shady.mp3,eminem
Blame,"Calvin Harris, John Newman",Motion,motion.jpeg,blame.mp3,calvin_harris
Outside,"Calvin Harris, Ellie Goulding",Motion,motion.jpeg,outside.mp3,calvin_harris
Feel So Close,Calvin Harris,18 Months,18_months.jpeg,feel_so_close.mp3,calvin_harris
Summer,Calvin Harris,Motion,motion.jpeg,summer.mp3,calvin_harris
One Kiss,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),one_kiss_with_dua_lipa.jpeg,one_kiss.mp3,calvin_harris
This Is What You Came For,"Calvin Harris, Rihanna",This Is What You Came For,this_is_what_you_came_for.jpeg,this_is_what_you_came_for.mp3,calvin_harris
How Deep Is Your Love,"Calvin Harris, Disciples",How Deep Is Your Love,how_deep_is_your_love.jpeg,how_deep_is_your_love.mp3,calvin_harris
Eu Te Devoro,Djavan,Ária - Ao Vivo,aria__ao_vivo.jpeg,eu_te_devoro.mp3,djavan
Lilás,Djavan,Lilás,lilas.jpeg,lilas.mp3,djavan
Linha do Equador,Djavan,Coisa de Acender,coisa_de_acender.jpeg,linha_do_equador.mp3,djavan
Flor de Lis,Djavan,A Voz e o Violão,a_voz_e_o_violao.jpeg,flor_de_lis.mp3,djavan
Sina,Djavan,Luz,luz.jpeg,sina.mp3,djavan
Oceano,Djavan,Djavan,djavan.jpeg,oceano.mp3,djavan
Nem um Dia,Djavan,Malásia,malasia.jpeg,nem_um_dia.mp3,djavan
Samurai,Djavan,Luz,luz.jpeg,samurai.mp3,djavan
Heaven,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),reckless_30th_anniversary__deluxe_edition.jpeg,heaven.mp3,bryan_adams
Please Forgive Me,Bryan Adams,Anthology,anthology.jpeg,please_forgive_me.mp3,bryan_adams
I Do It For You,Bryan Adams,Waking Up The Neighbours,waking_up_the_neighbours.jpeg,i_do_it_for_you.mp3,bryan_adams
